HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
ZNF607	zinc_finger_protein_607		Q96SK3	ENSG00000198182	1	1		b		ZNF607	ZNF607	2.3.3.67.9	ZNF607	ZNF607	6		PTHR24377	SF819	ZINC_FINGER_PROTEIN_607
ZNF610	zinc_finger_protein_610		Q8N9Z0	ENSG00000167554	1	1		b		ZNF610	ZNF610	2.3.3.0.89	ZNF610	ZNF610	6		PTHR24377	SF703	ZINC_FINGER_PROTEIN_610
ZNF611	zinc_finger_protein_611		Q8N823	ENSG00000213020	1	1		b		ZNF611	ZNF611	2.3.3.72.3	ZNF611	ZNF611	6		PTHR24377	SF741	ZINC_FINGER_PROTEIN_611
ZNF613	zinc_finger_protein_613		Q6PF04	ENSG00000176024	1	1	ZNF613	b		ZNF613	ZNF613	2.3.3.30.4	ZNF613	ZNF613	6		PTHR24404	SF26	ZINC_FINGER_PROTEIN_613
ZNF614	zinc_finger_protein_614		Q8N883	ENSG00000142556	1	1	ZNF614			ZNF614	ZNF614	2.3.3.30.5	ZNF614	ZNF614	5		PTHR24381	SF110	ZINC_FINGER_PROTEIN_614
ZNF615	zinc_finger_protein_615		Q8N8J6	ENSG00000197619	1	1		b		ZNF615	ZNF615	2.3.3.75	ZNF615	ZNF615	6		PTHR24376	SF83	ZINC_FINGER_PROTEIN_615
ZNF616	zinc_finger_protein_616		Q08AN1	ENSG00000204611	1	1		b		ZNF616	ZNF616	2.3.3.79.3	ZNF616	ZNF616	6		PTHR24377		
ZNF618	zinc_finger_protein_618		Q5T7W0	ENSG00000157657	1	1		b		ZNF618	ZNF618	2.3.4.0.18	ZNF618	ZNF618	6		PTHR24383	SF12	ZINC_FINGER_PROTEIN_618
ZNF619	zinc_finger_protein_619		Q8N2I2	ENSG00000177873	1	1	ZNF619	b		ZNF619	ZNF619	2.3.3.35.4	ZNF619	ZNF619	6		PTHR24381	SF138	ZINC_FINGER_PROTEIN_619
ZNF620	zinc_finger_protein_620		Q6ZNG0	ENSG00000177842	1	1	ZNF620	b		ZNF620	ZNF620	2.3.3.35.1	ZNF620	ZNF620	6		PTHR24381	SF114	ZINC_FINGER_PROTEIN_620
ZNF621	zinc_finger_protein_621		Q6ZSS3	ENSG00000172888	1	1		b		ZNF621	ZNF621	2.3.3.35.2	ZNF621	ZNF621	6		PTHR23226	SF155	ZINC_FINGER_PROTEIN_621
ZNF623	zinc_finger_protein_623		O75123	ENSG00000183309	1	1		b		ZNF623	ZNF623	2.3.3.0.161	ZNF623	ZNF623	6		PTHR24377	SF244	ZINC_FINGER_PROTEIN_623
ZNF624	zinc_finger_protein_624		Q9P2J8	ENSG00000197566	1	1		b		ZNF624	ZNF624	2.3.3.0.227	ZNF624	ZNF624	6		PTHR24377	SF823	ZINC_FINGER_PROTEIN_624
ZNF625	zinc_finger_protein_625		Q96I27	ENSG00000257591	1	1		b		ZNF625	ZNF625	2.3.3.33.3	ZNF625	ZNF625	6		PTHR24379	SF40	ZINC_FINGER_PROTEIN_625
ZNF626	zinc_finger_protein_626		Q68DY1	ENSG00000188171	1	1		b		ZNF626	ZNF626	2.3.3.57.1	ZNF626	ZNF626	6		PTHR24384	SF129	ZINC_FINGER_PROTEIN_626
ZNF627	zinc_finger_protein_627		Q7L945	ENSG00000198551	1	1		b		ZNF627	ZNF627	2.3.3.33.7	ZNF627	ZNF627	6		PTHR24379	SF78	ZINC_FINGER_PROTEIN_627
ZNF628	zinc_finger_protein_628		Q5EBL2	ENSG00000197483	1	1	ZNF628	b		ZNF628	ZNF628	2.3.4.0.39	ZNF628	ZNF628	6		PTHR24384	SF220	ZINC_FINGER_PROTEIN_628
ZNF629	zinc_finger_protein_629		Q9UEG4	ENSG00000102870	1	1		b		ZNF629	ZNF629	2.3.4.0.49	ZNF629	ZNF629	6		PTHR24376	SF78	ZINC_FINGER_PROTEIN_629
ZNF630	zinc_finger_protein_630		Q2M218	ENSG00000221994	1	1				ZNF630			ZNF630	ZNF630	3		PTHR24377	SF216	ZINC_FINGER_PROTEIN_630
ZNF639	zinc_finger_protein_639		Q9UID6	ENSG00000121864	1	1	ZNF639	b	ZNF639	ZNF639	ZNF639	2.3.4.13.1	ZNF639	ZNF639	7		PTHR24404	SF35	ZINC_FINGER_PROTEIN_639
ZNF641	zinc_finger_protein_641		Q96N77	ENSG00000167528	1	1		b		ZNF641	ZNF641	2.3.3.0.25	ZNF641	ZNF641	6		PTHR24377	SF762	ZINC_FINGER_PROTEIN_641
ZNF644	zinc_finger_protein_644		Q9H582	ENSG00000122482	1	1	ZNF644	a		ZNF644	ZNF644	2.3.4.0.76	ZNF644	ZNF644	6		PTHR24396	SF25	ZINC_FINGER_PROTEIN_644
ZNF646	zinc_finger_protein_646		O15015	ENSG00000167395	1	1	ZNF646	b		ZNF646	ZNF646	2.3.4.0.13	ZNF646	ZNF646	6		PTHR24388	SF41	ZINC_FINGER_PROTEIN_646
ZNF648	zinc_finger_protein_648		Q5T619	ENSG00000179930	1	1	ZNF648	b		ZNF648	ZNF648	2.3.3.0.94	ZNF648	ZNF648	6		PTHR24388	SF82	ZINC_FINGER_PROTEIN_648-RELATED
ZNF649	zinc_finger_protein_649		Q9BS31	ENSG00000198093	1	1	ZNF649	b		ZNF649	ZNF649	2.3.3.30	ZNF649	ZNF649	6		PTHR24404	SF34	ZINC_FINGER_PROTEIN_649
ZNF652	zinc_finger_protein_652		Q9Y2D9	ENSG00000198740	1	1		b	ZNF652	ZNF652	ZNF652	2.3.3.29.1	ZNF652	ZNF652	7		PTHR24394	SF21	ZINC_FINGER_PROTEIN_652
ZNF654	zinc_finger_protein_654		Q8IZM8	ENSG00000175105	1	1		b		ZNF654	ZNF654	2.3.4.7.3	ZNF654	ZNF654	6		PTHR15507	SF16	ZINC_FINGER_PROTEIN_654
ZNF655	zinc_finger_protein_655		Q8N720	ENSG00000197343	1	1		b		ZNF655	ZNF655	2.3.3.0.31	ZNF655	ZNF655	6		PTHR24377	SF865	ZINC_FINGER_PROTEIN_655
ZNF658	zinc_finger_protein_658		Q5TYW1	ENSG00000274349	1	1		b		ZNF658	ZNF658	2.3.4.11.1	ZNF658	ZNF658	6		PTHR24376	SF169	ZINC_FINGER_PROTEIN_658-RELATED
ZNF658B	zinc_finger_protein_658B_(pseudogene)	pseudogene	Q4V348	ENSG00000198416	1	1		b		ZNF658B	ZNF658B				3		PTHR24376		
ZNF66	zinc_finger_protein_66		Q6ZN08	ENSG00000160229	1	1				ZNF66	ZNF66	2.3.3.57.1	ZNF66	ZNF66	5		PTHR24384	SF214	ZINC_FINGER_PROTEIN_66-RELATED
ZNF660	zinc_finger_protein_660		Q6AZW8	ENSG00000144792	1	1		b		ZNF660	ZNF660	2.3.3.0.91	ZNF660	ZNF660	6	ZNF660	PTHR24390	SF166	ZINC_FINGER_PROTEIN_660
ZNF662	zinc_finger_protein_662		Q6ZS27	ENSG00000182983	1	1		b		ZNF662	ZNF662	2.3.3.0.62	ZNF662	ZNF662	6		PTHR24390	SF39	ZINC_FINGER_PROTEIN_662
ZNF663P	zinc_finger_protein_663,_pseudogene	pseudogene	pseudogene	ENSG00000215452	1	0		b		ZNF663	ZNF663P				3				
ZNF664	zinc_finger_protein_664		Q8N3J9	ENSG00000179195	1	1		b		ZNF664	ZNF664	2.3.3.0.84	ZNF664	ZNF664	6		PTHR24384	SF30	ZINC_FINGER_PROTEIN_664
ZNF665	zinc_finger_protein_665		Q9H7R5	ENSG00000197497	1	1		b		ZNF665	ZNF665	2.3.3.76.1	ZNF665	ZNF665	6		PTHR24377	SF609	ZINC_FINGER_PROTEIN_665
ZNF667	zinc_finger_protein_667		Q5HYK9	ENSG00000198046	1	1		b		ZNF667	ZNF667	2.3.3.0.179	ZNF667	ZNF667	6		PTHR24390	SF46	ZINC_FINGER_PROTEIN_667
ZNF668	zinc_finger_protein_668		Q96K58	ENSG00000167394	1	1	ZNF668	b	ZNF668	ZNF668	ZNF668	2.3.4.0.50	ZNF668	ZNF668	7		PTHR24376	SF70	ZINC_FINGER_PROTEIN_668
ZNF669	zinc_finger_protein_669		Q96BR6	ENSG00000188295	1	1	ZNF669	b		ZNF669	ZNF669	2.3.3.33.4	ZNF669	ZNF669	6		PTHR24381	SF336	ZINC_FINGER_PROTEIN_669
ZNF670	zinc_finger_protein_670		Q9BS34	ENSG00000277462	1	1		b		ZNF670	ZNF670	2.3.3.33.5	ZNF670	ZNF670	6		PTHR24377	SF866	ZINC_FINGER_PROTEIN_670
ZNF671	zinc_finger_protein_671		Q8TAW3	ENSG00000083814	1	1		b		ZNF671	ZNF671	2.3.4.24.2	ZNF671	ZNF671	6		PTHR24390	SF44	ZINC_FINGER_PROTEIN_671
ZNF672	zinc_finger_protein_672		Q499Z4	ENSG00000171161	1	1		b		ZNF672	ZNF672	2.3.3.66.2	ZNF672	ZNF672	6		PTHR24408	SF34	ZINC_FINGER_PROTEIN_316-RELATED
ZNF674	zinc_finger_protein_674		Q2M3X9	ENSG00000251192	1	1			ZNF674	ZNF674	ZNF674	2.3.4.0.57	ZNF674	ZNF674	6		PTHR24381		
ZNF675	zinc_finger_protein_675		Q8TD23	ENSG00000197372	1	1		b		ZNF675	ZNF675	2.3.3.57.1	ZNF675	ZNF675	6		PTHR24384	SF115	ZINC_FINGER_PROTEIN_675
ZNF676	zinc_finger_protein_676		Q8N7Q3	ENSG00000196109	1	1		c		ZNF676	ZNF676	2.3.3.0.183	ZNF676	ZNF676	6		PTHR24384	SF112	ZINC_FINGER_PROTEIN_676
ZNF677	zinc_finger_protein_677		Q86XU0	ENSG00000197928	1	1		b		ZNF677	ZNF677	2.3.3.0.99	ZNF677	ZNF677	6		PTHR24377	SF698	ZINC_FINGER_PROTEIN_677
ZNF678	zinc_finger_protein_678		Q5SXM1	ENSG00000181450	1	1		b		ZNF678	ZNF678	2.3.3.57.1	ZNF678	ZNF678	6		PTHR24384		
ZNF679	zinc_finger_protein_679		Q8IYX0	ENSG00000197123	1	1		b		ZNF679	ZNF679	2.3.3.32.1	ZNF679	ZNF679	6		PTHR24384	SF178	ZINC_FINGER_PROTEIN_679-RELATED
ZNF680	zinc_finger_protein_680		Q8NEM1	ENSG00000173041	1	1		b		ZNF680	ZNF680	2.3.3.57.1	ZNF680	ZNF680	6		PTHR24384	SF121	ZINC_FINGER_PROTEIN_680
ZNF681	zinc_finger_protein_681		Q96N22	ENSG00000196172	1	1		b		ZNF681	ZNF681	2.3.3.57.1	ZNF681	ZNF681	6		PTHR24377	SF356	ZINC_FINGER_PROTEIN_681
ZNF682	zinc_finger_protein_682		O95780	ENSG00000197124	1	1		b		ZNF682	ZNF682	2.3.3.0.109	ZNF682	ZNF682	6		PTHR24384	SF116	ZINC_FINGER_PROTEIN_682
ZNF683	zinc_finger_protein_683		Q8IZ20	ENSG00000176083	1	1		b		ZNF683	ZNF683	2.3.3.12.2	ZNF683	ZNF683	6		PTHR24390	SF124	TISSUE-RESIDENT_T-CELL_TRANSCRIPTION_REGULATOR_PROTEIN_ZNF683
ZNF684	zinc_finger_protein_684		Q5T5D7	ENSG00000117010	1	1	ZNF684	b		ZNF684	ZNF684	2.3.3.0.68	ZNF684	ZNF684	6	ZNF684	PTHR24381	SF0	ZINC_FINGER_PROTEIN_684
ZNF687	zinc_finger_protein_687		Q8N1G0	ENSG00000143373	1	1		b	ZNF687	ZNF687	ZNF687	2.3.4.9.3	ZNF687	ZNF687	7		PTHR47222	SF2	ZINC_FINGER_PROTEIN_687
ZNF688	zinc_finger_protein_688		P0C7X2	ENSG00000229809	1	1	ZNF688	b		ZNF688	ZNF688		ZNF688	ZNF688	5		PTHR24381	SF350	ZINC_FINGER_PROTEIN_688
ZNF689	zinc_finger_protein_689		Q96CS4	ENSG00000156853	1	1		b		ZNF689	ZNF689	2.3.3.66.1	ZNF689	ZNF689	6		PTHR24377	SF695	ZINC_FINGER_PROTEIN_689
ZNF69	zinc_finger_protein_69		Q9UC07	ENSG00000198429	1	1	ZNF69	b	ZNF69	ZNF69	ZNF69		ZNF69	ZNF69	6		PTHR24381	SF244	ZINC_FINGER_PROTEIN_439-RELATED
ZNF691	zinc_finger_protein_691		Q5VV52	ENSG00000164011	1	1	ZNF691	b		ZNF691	ZNF691	2.3.3.0.39	ZNF691	ZNF691	6		PTHR24404	SF47	ZINC_FINGER_PROTEIN_691
ZNF692	zinc_finger_protein_692		Q9BU19	ENSG00000171163	1	1	ZNF692	b	ZNF692	ZNF692	ZNF692	2.3.3.3.2	ZNF692	ZNF692	7		PTHR24390	SF105	ZINC_FINGER_PROTEIN_692
ZNF695	zinc_finger_protein_695		Q8IW36	ENSG00000197472	1	1		b		ZNF695	ZNF695	2.3.3.0.156	ZNF695	ZNF695	6		PTHR24384	SF119	ZINC_FINGER_PROTEIN_695
ZNF696	zinc_finger_protein_696		Q9H7X3	ENSG00000185730	1	1		b		ZNF696	ZNF696	2.3.3.0.78	ZNF696	ZNF696	6		PTHR24379	SF77	ZINC_FINGER_PROTEIN_696
ZNF697	zinc_finger_protein_697		Q5TEC3	ENSG00000143067	1	1		b		ZNF697	ZNF697	2.3.4.0.41	ZNF697	ZNF697	6		PTHR23226	SF207	ZINC_FINGER_PROTEIN_697
ZNF699	zinc_finger_protein_699		Q32M78	ENSG00000196110	1	1		b		ZNF699	ZNF699		ZNF699	ZNF699	5		PTHR24377	SF899	ZINC_FINGER_PROTEIN_699
ZNF7	zinc_finger_protein_7		P17097	ENSG00000147789	1	1	ZNF7	a	ZNF7	ZNF7	ZNF7	2.3.3.0.190	ZNF7	ZNF7	7		PTHR24377	SF189	ZINC_FINGER_PROTEIN_7
ZNF70	zinc_finger_protein_70		Q9UC06	ENSG00000187792	1	1	ZNF70	b		ZNF70	ZNF70	2.3.3.0.121	ZNF70	ZNF70	6		PTHR24381	SF82	ZINC_FINGER_PROTEIN_70
ZNF700	zinc_finger_protein_700		Q9H0M5	ENSG00000196757	1	1		b		ZNF700			ZNF700	ZNF700	4		PTHR24379	SF24	ZINC_FINGER_PROTEIN_700
ZNF701	zinc_finger_protein_701		Q9NV72	ENSG00000167562	1	1		b		ZNF701	ZNF701	2.3.3.27.2	ZNF701	ZNF701	6		PTHR24377	SF800	ZINC_FINGER_PROTEIN_701
ZNF702P	zinc_finger_protein_702,_pseudogene	pseudogene	Q9H963	ENSG00000242779	1	1				ZNF702P	ZNF702P				2		PTHR24407	SF10	ZINC_FINGER_PROTEIN_766-RELATED
ZNF704	zinc_finger_protein_704		Q6ZNC4	ENSG00000164684	1	1		b		ZNF704	ZNF704		ZNF704	ZNF704	5	ZNF704	PTHR13006	SF7	ZINC_FINGER_PROTEIN_704
ZNF705A	zinc_finger_protein_705A		Q6ZN79	ENSG00000196946	1	1	ZNF705A	b		ZNF705A	ZNF705A	2.3.2.2.3	ZNF705A	ZNF705A	6		PTHR24381	SF353	ZINC_FINGER_PROTEIN_705A
ZNF705B	zinc_finger_protein_705B		P0CI00	ENSG00000215356	1	1		c		ZNF705B			ZNF705B	ZNF705B	4		PTHR24381		
ZNF705D	zinc_finger_protein_705D		P0CH99	ENSG00000215343	1	1		b	ZNF705D	ZNF705D	ZNF705D	2.3.3.7.1	ZNF705D	ZNF705D	7		PTHR24381	SF303	ZINC_FINGER_PROTEIN_705D-RELATED
ZNF705E	zinc_finger_protein_705E		A8MWA4	ENSG00000214534	1	1		b		ZNF705E	ZNF705E	2.3.3.7.4	ZNF705E	ZNF705E	6		PTHR24381	SF312	ZINC_FINGER_PROTEIN_705E-RELATED
ZNF705F	zinc_finger_protein_705F		A8MVS1	-	1	1		b	ZNF705F	ZNF705F		2.3.3.7.2			4		PTHR24381		
ZNF705G	zinc_finger_protein_705G		A8MUZ8	ENSG00000215372	1	1		b		ZNF705G	ZNF705G	2.3.3.7.3	ZNF705G	ZNF705G	6		PTHR24381	SF19	ZINC_FINGER_PROTEIN_705G-RELATED
ZNF707	zinc_finger_protein_707		Q96C28	ENSG00000181135	1	1		b		ZNF707	ZNF707	2.3.3.0.51	ZNF707	ZNF707	6		PTHR24390	SF129	ZINC_FINGER_PROTEIN_707
ZNF708	zinc_finger_protein_708		P17019	ENSG00000182141	1	1	ZNF708	a		ZNF708	ZNF708		ZNF708	ZNF708	5		PTHR24384	SF201	ZINC_FINGER_PROTEIN_678-RELATED
ZNF709	zinc_finger_protein_709		Q8N972	ENSG00000242852	1	1		b		ZNF709	ZNF709	2.3.3.78.2	ZNF709	ZNF709	6		PTHR24379	SF90	ZINC_FINGER_PROTEIN_709
ZNF71	zinc_finger_protein_71		Q9NQZ8	ENSG00000197951	1	1		b		ZNF71	ZNF71	2.3.3.62.2	ZNF71	ZNF71	6		PTHR24393	SF93	ENDOTHELIAL_ZINC_FINGER_PROTEIN_INDUCED_BY_TUMOR_NECROSIS_FACTOR_ALPHA
ZNF710	zinc_finger_protein_710		Q8N1W2	ENSG00000140548	1	1		b		ZNF710	ZNF710	2.3.3.51.2	ZNF710	ZNF710	6		PTHR24390	SF43	ZINC_FINGER_PROTEIN_710
ZNF711	zinc_finger_protein_711		Q9Y462	ENSG00000147180	1	1	ZNF711	b	ZNF711	ZNF711	ZNF711	2.3.4.13.2	ZNF711	ZNF711	7		PTHR16515		
ZNF713	zinc_finger_protein_713		Q8N859	ENSG00000178665	1	1		b		ZNF713	ZNF713	2.3.3.0.14	ZNF713	ZNF713	6	ZNF713	PTHR24384	SF80	ZINC_FINGER_PROTEIN_713
ZNF714	zinc_finger_protein_714		Q96N38	ENSG00000160352	1	1		b		ZNF714	ZNF714		ZNF714	ZNF714	5		PTHR24384	SF104	ZINC_FINGER_PROTEIN_714
ZNF716	zinc_finger_protein_716		A6NP11	ENSG00000182111	1	1		c		ZNF716	ZNF716	2.3.3.57.1	ZNF716	ZNF716	6		PTHR24384		
ZNF717	zinc_finger_protein_717		Q9BY31	ENSG00000227124	1	1		c		ZNF717	ZNF717	2.3.4.25.2	ZNF717	ZNF717	6		PTHR24376	SF153	ZINC_FINGER_PROTEIN_717
ZNF718	zinc_finger_protein_718		Q3SXZ3	ENSG00000250312	1	1		b		ZNF718	ZNF718	2.3.3.0	ZNF718	ZNF718	6		PTHR24384	SF208	ZINC_FINGER_PROTEIN_718
ZNF721	zinc_finger_protein_721		Q8TF20	ENSG00000182903	1	1		b		ZNF721	ZNF721	2.3.3.77.2	ZNF721	ZNF721	6		PTHR24376		
ZNF723	zinc_finger_protein_723		P0DPD5	ENSG00000268696	1	1								ZNF723	1		PTHR24384	SF203	ZINC_FINGER_PROTEIN_723
ZNF724	zinc_finger_protein_724		A8MTY0	ENSG00000196081	1	1		c		ZNF724	ZNF724	2.3.3.57.1	ZNF724	ZNF724	6		PTHR24384		
ZNF725P	zinc_finger_protein_725,_pseudogene	pseudogene	pseudogene	ENSG00000268100	1	0		c			ZNF725P				2				
ZNF726	zinc_finger_protein_726		A6NNF4	ENSG00000213967	1	1		b		ZNF726	ZNF726	2.3.3.0.226	ZNF726	ZNF726	6		PTHR24377		
ZNF726P1	zinc_finger_protein_726_pseudogene_1	pseudogene	Q15940	-	1	1				ZNF726P1					1		PTHR24377		
ZNF727	zinc_finger_protein_727		A8MUV8	ENSG00000214652	1	1		b		ZNF727	ZNF727	2.3.3.48.2	ZNF727	ZNF727	6		PTHR24384	SF206	ZINC_FINGER_PROTEIN_727-RELATED
ZNF728	zinc_finger_protein_728		P0DKX0	ENSG00000269067	1	1				ZNF728			ZNF728	ZNF728	3		PTHR24377	SF739	ZINC_FINGER_PROTEIN_728
ZNF729	zinc_finger_protein_729		A6NN14	ENSG00000196350	1	1		b		ZNF729	ZNF729	2.3.3.80.2	ZNF729	ZNF729	6		PTHR24376	SF154	ZINC_FINGER_PROTEIN_729
ZNF72P	zinc_finger_protein_72,_pseudogene	pseudogene	pseudogene	ENSG00000184624	1	0		c							1				
ZNF730	zinc_finger_protein_730		Q6ZMV8	ENSG00000183850	1	1		b		ZNF730	ZNF730	2.3.3.57.1	ZNF730	ZNF730	6		PTHR24384	SF110	ZINC_FINGER_PROTEIN_730-RELATED
ZNF732	zinc_finger_protein_732		B4DXR9	ENSG00000186777	1	1		c		ZNF732	ZNF732	2.3.3.57.1	ZNF732	ZNF732	6		PTHR24384	SF81	ZINC_FINGER_PROTEIN_732
ZNF733P	zinc_finger_protein_733,_pseudogene	pseudogene	pseudogene	ENSG00000185037	1	0		c							1				
ZNF734P	zinc_finger_protein_734,_pseudogene	pseudogene	pseudogene	ENSG00000197990	1	0		b							1				
ZNF735	zinc_finger_protein_735		P0CB33	ENSG00000223614	1	1				ZNF735	ZNF735		ZNF735	ZNF735	4		PTHR24384	SF217	ZINC_FINGER_PROTEIN_735-RELATED
ZNF736	zinc_finger_protein_736		B4DX44	ENSG00000234444	1	1				ZNF736		2.3.3.48.1	ZNF736	ZNF736	4		PTHR24384	SF98	ZINC_FINGER_PROTEIN_736
ZNF737	zinc_finger_protein_737		O75373	ENSG00000237440	1	1				ZNF737	ZNF737	2.3.3.57.1	ZNF737	ZNF737	5		PTHR24384	SF128	ZINC_FINGER_PROTEIN_737
ZNF73P	zinc_finger_protein_73,_pseudogene	pseudogene	pseudogene	pseudogene	1	0				ZNF73					1				
ZNF74	zinc_finger_protein_74		Q16587	ENSG00000185252	1	1		b		ZNF74	ZNF74	2.3.3.0.132	ZNF74	ZNF74	6		PTHR24377	SF336	ZINC_FINGER_PROTEIN_74
ZNF740	zinc_finger_protein_740		Q8NDX6	ENSG00000139651	1	1	ZNF740	b		ZNF740	ZNF740	2.3.2.4.5	ZNF740	ZNF740	6	ZNF740	PTHR24404	SF51	ZINC_FINGER_PROTEIN_740
ZNF746	zinc_finger_protein_746		Q6NUN9	ENSG00000181220	1	1	ZNF746	b	ZNF746	ZNF746	ZNF746	2.3.3.0.26	ZNF746	ZNF746	7		PTHR24390	SF97	ZINC_FINGER_PROTEIN_746
ZNF749	zinc_finger_protein_749		O43361	ENSG00000186230	1	1		b		ZNF749	ZNF749	2.3.3.0.217	ZNF749	ZNF749	6		PTHR24381	SF5	ZINC_FINGER_PROTEIN_749
ZNF750	zinc_finger_protein_750		Q32MQ0	ENSG00000141579	1	1	ZNF750	b	ZNF750	ZNF750	ZNF750		ZNF750	ZNF750	6		PTHR14678	SF1	ZINC_FINGER_PROTEIN_750
ZNF75A	zinc_finger_protein_75a		Q96N20	ENSG00000162086	1	1	ZNF75A	b		ZNF75A	ZNF75A	2.3.3.6.1	ZNF75A	ZNF75A	6	ZNF75A	PTHR24381	SF268	ZINC_FINGER_PROTEIN_75A
ZNF75CP	zinc_finger_protein_75C,_pseudogene	pseudogene	Q92670	-	1	1	ZNF75CP			ZNF75CP					1		PTHR23226	SF142	ZINC_FINGER_PROTEIN_75C-RELATED
ZNF75D	zinc_finger_protein_75D		P51815	ENSG00000186376	1	1	ZNF75D	b		ZNF75D	ZNF75D	2.3.3.6.3	ZNF75D	ZNF75D	6		PTHR23226	SF272	ZINC_FINGER_PROTEIN_75D
ZNF76	zinc_finger_protein_76		P36508	ENSG00000065029	1	1	ZNF76	a	ZNF76	ZNF76	ZNF76	2.3.3.28.1	ZNF76	ZNF76	7	ZNF76	PTHR23226	SF222	ZINC_FINGER_PROTEIN_76
ZNF761	zinc_finger_protein_761		Q86XN6	ENSG00000160336	1	1		b		ZNF761	ZNF761		ZNF761	ZNF761	5		PTHR24377	SF825	ZINC_FINGER_PROTEIN_761
ZNF763	zinc_finger_protein_763		Q0D2J5	ENSG00000197054	1	1		c		ZNF763	ZNF763	2.3.3.33.1	ZNF763	ZNF763	6		PTHR24390	SF140	ZINC_FINGER_PROTEIN_763
ZNF764	zinc_finger_protein_764		Q96H86	ENSG00000169951	1	1		c		ZNF764	ZNF764	2.3.3.39.1	ZNF764	ZNF764	6		PTHR24381	SF299	ZINC_FINGER_PROTEIN_764
ZNF765	zinc_finger_protein_765		Q7L2R6	ENSG00000196417	1	1				ZNF765	ZNF765	2.3.3.27.3	ZNF765	ZNF765	5		PTHR24377		
ZNF766	zinc_finger_protein_766		Q5HY98	ENSG00000196214	1	1		c		ZNF766	ZNF766	2.3.3.0.98	ZNF766	ZNF766	6		PTHR24407		
ZNF768	zinc_finger_protein_768		Q9H5H4	ENSG00000169957	1	1	ZNF768	c		ZNF768	ZNF768	2.3.3.0.95	ZNF768	ZNF768	6		PTHR24381	SF280	ZINC_FINGER_PROTEIN_768
ZNF77	zinc_finger_protein_77		Q15935	ENSG00000175691	1	1	ZNF77	b		ZNF77	ZNF77	2.3.3.33.10	ZNF77	ZNF77	6		PTHR24381	SF51	ZINC_FINGER_PROTEIN_77
ZNF770	zinc_finger_protein_770		Q6IQ21	ENSG00000198146	1	1		c		ZNF770	ZNF770	2.3.4.0.26	ZNF770	ZNF770	6		PTHR24376	SF151	ZINC_FINGER_PROTEIN_770
ZNF771	zinc_finger_protein_771		Q7L3S4	ENSG00000179965	1	1		b		ZNF771	ZNF771	2.3.3.39.3	ZNF771	ZNF771	6	ZNF771	PTHR24394	SF27	ZINC_FINGER_PROTEIN_771
ZNF772	zinc_finger_protein_772		Q68DY9	ENSG00000197128	1	1		c		ZNF772	ZNF772	2.3.4.24.3	ZNF772	ZNF772	6		PTHR24377	SF610	ZINC_FINGER_PROTEIN_772
ZNF773	zinc_finger_protein_773		Q6PK81	ENSG00000152439	1	1		c		ZNF773	ZNF773		ZNF773	ZNF773	5		PTHR24377	SF691	ZINC_FINGER_PROTEIN_773
ZNF774	zinc_finger_protein_774		Q6NX45	ENSG00000196391	1	1		c		ZNF774	ZNF774	2.3.3.58.5	ZNF774	ZNF774	6		PTHR24377	SF889	ZINC_FINGER_PROTEIN_774
ZNF775	zinc_finger_protein_775		Q96BV0	ENSG00000196456	1	1		c		ZNF775	ZNF775	2.3.4.0.44	ZNF775	ZNF775	6		PTHR24377	SF614	ZINC_FINGER_PROTEIN_775
ZNF776	zinc_finger_protein_776		Q68DI1	ENSG00000152443	1	1		c		ZNF776	ZNF776	2.3.3.53.2	ZNF776	ZNF776	6		PTHR24377	SF725	ZINC_FINGER_PROTEIN_776
ZNF777	zinc_finger_protein_777		Q9ULD5	ENSG00000196453	1	1		b		ZNF777	ZNF777	2.3.3.23.2	ZNF777	ZNF777	6		PTHR24377	SF813	ZINC_FINGER_PROTEIN_777
ZNF778	zinc_finger_protein_778		Q96MU6	ENSG00000170100	1	1	ZNF778	c		ZNF778	ZNF778	2.3.4.0.63	ZNF778	ZNF778	6		PTHR24381	SF153	ZINC_FINGER_PROTEIN_778
ZNF780A	zinc_finger_protein_780A		O75290	ENSG00000197782	1	1		c		ZNF780A	ZNF780A	2.3.3.67	ZNF780A	ZNF780A	6		PTHR24377	SF287	ZINC_FINGER_PROTEIN_780A
ZNF780B	zinc_finger_protein_780B		Q9Y6R6	ENSG00000128000	1	1		c		ZNF780B	ZNF780B	2.3.3.67.10	ZNF780B	ZNF780B	6		PTHR24376	SF177	ZINC_FINGER_PROTEIN_780B
ZNF781	zinc_finger_protein_781		Q8N8C0	ENSG00000196381	1	1		c		ZNF781	ZNF781	2.3.3.0.10	ZNF781	ZNF781	6		PTHR14947	SF16	ZINC_FINGER_PROTEIN_781
